ID,orig,dest,polyline
7729,77,141,gpuaG~`}pLiBpHqHh[_EtPw@fCgJ|WgGnQeG|QiGbRyAvEmCdI[`Ai@Y_@QyE_Cs@a@SQg@m@Wi@wAgEaAsCy@aBmByCeAaBOSu@k@A[
7730,77,142,gpuaG~`}pLiBpHqHh[_EtPw@fCgJ|WgGnQeG|QiGbRyAvEmCdI[`Ai@Y_@QyE_Cs@a@SQg@m@Wi@wAgEaAsCy@aBmByCeAaBOSu@k@Cc@EQIUMOUAEBINGVCPBVDPJPJHy@rAYd@k@xAWjAYlBS~@[dA]~@[n@s@fAuAbBc@p@m@rAeAlCo@hBa@hAGE
7731,77,143,gpuaG~`}pLiBpHqHh[_EtPw@fC_FrNm@`BQh@FB
7732,77,144,gpuaG~`}pLiBpHqHh[_EtPw@fCgJ|WgGnQeG|QiGbRyAvEmCdIo@hBYb@CH{@l@gBrAcE|CgGvEyDrCeAn@uAf@mFdB
7733,77,145,gpuaG~`}pLiBpHqHh[_EtPw@fCgJ|WgGnQeG|QiGbRyAvEmCdIB\DLPN^Db@ShB_ArBqA\QX[NQf@iAR_@V{@
7734,78,79,igtaG~x|pLI\In@F`CNhD^`ILdDIzAK`B?xA@dA\rDJ~@f@pC|AfJp@lFg@p@
7735,78,80,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBhP`CtK|ApG`Ae@|GGdAAr@Df@Pz@`@x@d@f@f@TlAXxIxA|Ez@JT
7736,78,81,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKXRrCpDXZZN`E`BpBp@|@`@XVVd@bB|Cr@nAh@j@x@n@l@d@b@Tj@R\BH?`@DZ@R?NCVQXO`Ae@XOTGp@GnBVfEv@nB\xA`@JD?X?R@BFHZJV?h@A\F`@\Lb@?PHLPLCs@BEB@@n@A?Ei@?WFg@Nk@Xg@XUHGB@ADUNKD?IRSUFOeAQ_AfBo@Fj@JDPF`@ClCaAdEcBhHuCZMeBaNWwB?a@?oBLsGRyGB_CEqAGsA
7737,78,82,igtaG~x|pLI\In@F`C~HeB^IHFDDHLbDrINr@l@vFFRDf@VFbDdAjF|AtCd@XLJM|O~JxErCdJrFfAn@`@`@lB|Bh@p@d@y@vAsCb@}@b@{@X\PTDJFf@JrAVnFf@pM|Ah`@LhE?LT|FVdKDbBHv@VrHN~E?j@VjHNtDJfBZtIXlHF|@RnED|Ar@r@^Vf@T\Jh@Hj@DAPDPlHfJ^h@f@j@f@Xb@V\Ff@FvAErFUpCKHEHi@PcCD]vBZF?VQv@hCP^TAbGqAtBa@pBUzAYjDs@rAc@pBcA|@a@PGf@Uv@e@\[t@y@n@o@|@q@d@[~C_BvBgAzA}@dCeBt@m@r@y@h@u@f@_Ad@_AzAcE~B}FxByEzByEz@kBR[l@a@~A]XI~E}@j@B`@HxC|@vA^~AX|@FfABn@@l@Ap@O`Ac@PQl@{@v@aAbAuAhAsAXUl@c@xAs@LE@X?LGzAlE~@SlAMd@?B
7738,78,83,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAbC{D^o@VMnFcJ~BuDPUfE_EhAsApKiNlIwKbIgKtBoCdAgB~AqCh@y@FMPSdAy@hNyKtP_Nx@o@
7739,78,84,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBlC`@h@iIrAsSfAcPHIFWhG|@bC`@fC\PFtBXReDJ{A@IdBZ
7740,78,85,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDTUSg@_AaCcCuGvAwBbDeIJSRSj@uAlDuJbEeLr@uB\s@vAuDhDsK|AkFhDdC~B`Bh@d@j@p@dArAlBbCtBbCjC|ChAdArA`BxBhCvIlKrBhCxDrEn@|@fBzBdFjG~FlH~FpH`GtHbC|C|@jAZ?~BA`EEnEA
7741,78,86,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAp@gAp@|@~BpCTJxAtBh@dAVt@dAnDhAfEz@|Cd@vAp@tB|@fDPb@\jAVx@vC`KbBzFfBbGhAzDlAlEn@hCdArC`@pA|AxGv@|Cj@nBzA`Fl@rANLpAvCVv@PdABv@AtHHpCFjAFn@Tx@nA~CHf@|@xAZf@Lf@Jj@HpBLvCCzH@bAFlADl@aAReAPWCMQCG
7742,78,87,igtaG~x|pLI\In@F`C~HeB^IHFDDHLbDrINr@l@vFFRDf@VFbDdAjF|AtCd@XLJM|O~JxErCdJrFfAn@`@`@lB|Bh@p@d@y@vAsCb@}@b@{@X\PTDJFf@JrAVnFf@pM|Ah`@LhE?LD~AJ`C_@AiBImAEcBIiA?u@D
7743,78,88,igtaG~x|pLI\In@F`C~HeB^IHFDDHLbDrINr@l@vFFRNvBRfBJb@Xv@Xl@~@`B~BxDnCmD`@i@
7744,78,89,igtaG~x|pLI\In@F`CNhD^`ILdDIzAK`B?xA@dA\rDJ~@f@pC|AfJpBlOzC|U`BnMjArJVVHHn@lAJFObAIt@QfBKdAGjBMv@e@fB_@|@@HEHGHKLKLSNgAZaB`@Q?c@@cEUG?
7745,78,90,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBlC`@h@iIrAsSfA_P
7746,78,91,igtaG~x|pLI\In@F`C~HeBtAY|Ba@rH_BbBa@`IeBHCF@j@HrAh@~Av@NFTFzFpCx@b@xAn@z@gAjDmE`DgE|AoBvFqH
7747,78,92,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDTUSg@_AaCcCuGvAwBbDeIJSRSj@uAlDuJbEeLr@uB\s@vAuDhDsK|AkFhDdC~B`Bh@d@j@p@dArAlBbCtBbCjC|ChAdArA`BxBhCvIlKrBhCxDrEn@|@fBzBdFjG~FlH~FpHvCvDLN|C_BjFqCrBeA`@OpCwAr@]l@Uv@SvBSh@GxAKNMLFJ@RANIFGh@@A}AIe@Vy@Z]pAoAVQTEf@?vG??eKBKTeAfBXtAJrB@rAAhBuAjAcAZ_@Zm@HWJs@?g@OkA@SBORg@HW@QCQEi@?c@Ba@ViBT{@f@{AT]RUAWXQTGZ@N@LGTIJILSh@gB~F_S|@YBC@CpDmLBB@BHLJV@D?FPI\OTIHAJB^d@P^VbAFXZa@^e@LYPs@LY^uAPe@?MW}@?SXcB@Y@Od@wANo@EMCG?M~AaI`CK~GM|AOFVVr@@NMd@jDlEvBfCfBxB
7748,78,93,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDTUSg@_AaCcCuGvAwBbDeIJSRSj@uAlDuJbEeLr@uB\s@vAuDhDsK|AkFhDdC~B`Bh@d@j@p@dArAlBbCtBbCjC|ChAdArA`BxBhCvIlKrBhCxDrEn@|@fBzBdFjG~FlH~FpHvCvDLN|C_BjFqCrBeA`@OpCwAr@]l@Uv@SvBSh@GxAKNMLFJ@RANIFGh@@|BBjHGnDIrKOjA_@~Bo@l@UzAo@VG^CFFPHZ?NEJMLUBM@Eb@c@x@a@VMl@W
7749,78,94,igtaG~x|pLzAyFsA{@AEDmCF}BAs@IoAQgA{@sDEWL{@?eAAKE]Ke@KEc@OWUSSIQIQMQ{@{Dw@oE_@mC_AcMiAiMa@uEMkCM}BS{A}@eEg@oBa@cB]{A{A}Fm@{B?YF}@HUDi@?MGe@IQQYUQDc@FSLMj@]HYx@wBn@VXB\AxAWnAg@nAq@fAy@fHaHzC{CrB{BnCaDdC{CbHeK
7750,78,95,igtaG~x|pLI\In@F`C~HeBtAY|Ba@rH_BbBa@`IeBHCF@j@HD@
7751,78,96,igtaG~x|pLI\In@F`CNhD^`ILdDIzAK`B?xA@dA\rDJ~@f@pC|AfJpBlOzC|U`BnMjArJVVHHn@lAJFRD^Jb@oCn@yAFMMMn@eARa@FSxAaDR_@Pa@ZaArAsE|@{C
7752,78,97,igtaG~x|pLI\In@F`CNhD^`ILdDIzAK`B?xA@dA\rDJ~@f@pC|AfJpBlOzC|U`BnMjArJVVHHn@lAJFRD^Jb@oCn@yAFMMMn@eARa@DMXFj@JjBXrBZfB\jB\I`@YvAAV?NMRCFWbAQdASfAhA`@rBv@v@Tn@aCbAwDrCvAvAr@~@b@r@b@TJ
7753,78,98,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBlC`@h@iIrAsSfAcPHIFWPaCKWIYKIGAOQ_@K_@[yAqAAGBOJe@`C}QHw@BQRq@dD{HeAqDlBeEFqB@e@G}CC]G{CAk@DaCA_@K}@B{A^iBCi@Mg@SYOMUCy@Qa@]Qa@Ki@Y_AQg@qAsDIGMCc@RIAIIM[IQSNKF
7754,78,99,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[D~@@|A[@
7755,78,100,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAbC{D^o@VMlBcDLNDEDCLDFKD@LNPHJFJ@HO@SLQTQV?XDh@NHDHRFXN\b@p@BVJTjAbBPNF?|AoCHKDFT\fAnBj@fA`AnBjAvBtDbH\_@Pa@j@m@b@YTUH[Lg@b@yA\}@\aBt@aDV_BZ_Ad@q@Ti@Jg@L_@l@q@R[VTh@f@tBhB|B`BbBtApB~AjDlCjBjA`@\VJt@?t@JD}@TuBNw@TiC
7756,78,101,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@Ph^mNCQEBT|CL~BVfDn@|Cd@rAb@dADTAR?\^nA`@nBBr@GtDKnACnBQzI[hJA`@F?DEFeA@??^LBZ@BEBs@DA?SnAPv@J|Cb@V@z@iOPyBDY?SL?P@JBRNhAfArCvC~BfC|BfCn@t@bAbAi@jA
7757,78,102,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKXRrCpDXZZN`E`BpBp@|@`@XVVd@bB|Cr@nAh@j@x@n@l@d@b@Tj@R\BH?`@DZ@R?NCVQXO`Ae@XOTGp@GnBVfEv@nB\xA`@JD?X?R@BFHZJV?h@A\F`@\Lb@?PHLPLFTBd@A^SlAHPx@|AX~@J`@z@|ElBvKt@`Eb@S[aB[oBLG`@QF?XtA@DHAESiBcKxD{AhFsBlFqB|CkAbDuA|HwCxAo@hAa@^KxEjGd@n@zBpCxLbP~ArBDIVc@T[TGnCqClAmABMt@w@x@gA`FsGz@cAzAjC|H}JtCoD
7758,78,103,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKXRrCpDXZZN`E`BpBp@|@`@XVVd@bB|Cr@nAh@j@x@n@l@d@b@Tj@R\BH?`@DZ@R?NCVQXO`Ae@XOTGp@GnBVfEv@nB\xA`@JD?X?R@BFHZJV?h@A\F`@\Lb@?PHLPLFTBd@A^SlAHPx@|AX~@J`@z@|ElBvKt@`Eb@S[aB[oBLG`@QF?XtA@DHABLfBq@nFzZhBfKpAe@jAe@|CmAjFsB~CmAoA}G
7759,78,104,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDTUSg@_AaCcCuGvAwBbDeIJSRSj@uAlDuJbEeLr@uB\s@vAuDhDsK|AkFhDdC~B`Bh@d@j@p@dArAlBbCtBbCjC|ChAdArA`BxBhCvIlKrBhCxDrEn@|@fBzBdFjG~FlH~FpH`GtHbC|C|@jAZ?~BA`EEvEALA
7760,78,105,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAbC{D^o@VMlBcDLNDEDCLDFKD@LNPHJFJ@HO@SLQTQV?XDh@NHDHRFXN\b@p@BVJTjAbBPNF?|AoCHKDFT\fAnBj@fA`AnBjAvBtDbH\_@Pa@j@m@b@YTUH[Lg@b@yA\}@\aBt@aDV_BZ_Ad@q@Ti@Jg@L_@l@q@R[Ne@H]Vk@Zk@To@LUPQPSJYRg@Lg@Jc@LW\g@Vs@Pi@Tc@Xm@Xd@tAdClB`DhBoBhDoDz@_AN[Xs@nAeEr@{Bd@{@hA{AbAyAnBkCpBJn@HVB^Sv@Yr@Q
7761,78,106,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDTUSg@_AaCcCuGvAwBbDeIJSRSj@uAlDuJbEeLr@uB\s@vAuDhDsK|AkFhDdC~B`Bh@d@j@p@dArAlBbCtBbCjC|ChAdArA`BxBhCvIlKrBhCxDrEn@|@fBzBjAxA\q@~@cBxFaKpEcIpAzAn@iAh@_A
7762,78,107,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBlAF?wD~@GtAGx@QhA[d@Q\Yf@i@`EkElDuDfDoD`BeBRSPe@bCgI`@aAf@u@nDyGbD|Bz@p@z@r@xCzBFDb@\zAfA`EtClAbAxDlCpDbCpB`AfAf@TVpA|Ap@|@\o@hBcD?A`AiBfEsHfEsHbD}FhBeD~BcE|G{LnB`CRNHF?{ACeCEuICgEAeDGeL
7763,78,108,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAbC{D^o@VMlBcDLNDEDCLDFKD@LNPHJFJ@HO@SLQTQV?XDh@NHDHRFXN\b@p@BVJTjAbBPNF?|AoCHKDFT\fAnBj@fA`AnBjAvBtDbH\_@Pa@j@m@b@YTUH[Lg@b@yA\}@\aBt@aDV_BZ_Ad@q@Ti@Jg@L_@l@q@R[Ne@H]Vk@Zk@To@LUPQPSJYRg@Lg@Jc@LW\g@Vs@Pi@Tc@Xm@Ru@d@gBVsA^qAJ_ANi@N]T_AF{@B{@A_AEaAO}@GU`@WRCj@BjET`DNDUzAgCzDqGfCgEhFaJ|@wAj@y@b@g@bE}DrBeBpD{CvD}Cf@i@^{@DQNwAZkFBmAHmAb@yAr@sB
7764,78,109,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKLAXMT_@He@Ag@Qa@QSEI@QdAeClAqCPUDAD?x@mBbBzADPXHnJ~IrMbMFJ?THTJDJ?rC^`@D`AJ^Lb@X^\Vd@Rj@Lr@FrAAxFLvBHRTbArHt[bApEhHzZ@PBXjPwGlLoE|Ag@v@[bG}BzH{CxDuAtD}ArFyB~J}D`@Wn@iAbC{D^o@VMnFcJ~BuDPUfE_EhAsApKiNlIwKbIgKtBoCdAgB~AqCh@y@FMPSdAy@hNyKtP_NrAcArDwCl@[|AqA`A}@`EgDlKoIj@c@XEPX^r@dA`B`AdA|DlCrBnAlAz@^d@\b@Xj@\bASr@QO
7765,78,110,igtaG~x|pLI\In@F`C~HeB^IHFDDHLbDrINr@l@vFFRDf@VFbDdAjF|AtCd@XLJM|O~JxErCdJrFfAn@`@`@lB|Bh@p@d@y@vAsCb@}@b@{@X\PTDJFf@JrAVnFf@pM|Ah`@LhE?LT|FVdKDbBHv@VrHN~E?j@VjHNtDJfBZtIXlHF|@RnED|Ar@r@^Vf@T\Jh@Hj@DAPDPlHfJ^h@f@j@f@Xb@V\Ff@FvAErFUpCKHEHi@PcCD]vBZF?VQv@hCP^G?y@F[fFWnCSfESjFe@`HCb@MFOPQXIZWjBSnDEf@@VBVLLlBTJDDzAoA|Oe@xF
7766,78,111,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@DWOESIEG]s@k@_AMm@_AsByAcDg@qAe@gAONa@cA
7767,78,112,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@`@DRJfA}GvAyI|@aFTy@\k@b@g@X[vAkAbAo@f@S`AWnB_@vE{@nA[P^JPRLb@J`BBzADdBEbD?zBDp@NZVb@d@C`@GpA?Tq@m@SS
7768,78,113,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKXRrCpDXZZN`E`BpBp@|@`@XVVd@bB|Cr@nAh@j@x@n@l@d@b@Tj@R\BH?`@DZ@R?NCVQXOHEAFADQPCFNd@D??IO[IWKk@Iw@C{@BwAEAEh@BF^DM]E[?k@@O@MJSFK@G?KDA
7769,78,114,igtaG~x|pLjEiPnDgN^kAr@mBj@Oj@CtAW`AYpFgBnC{@~@oAxAmBT[DIjBqHLSFYd@iBx@_LhA}P`@uFfC^lCZfC`@j@mIHsAA{@CMB?V@CKQCOEKKSk@Ao@D]CWFUZq@t@mBnAsC^}@ASCWKIFO?GkAoAOOL[Rq@p@cBvCcHlEsKh@}@JYLeARMVgB`@cDTiBl@iCJYP_@TSj@k@`@]vB{Bl@c@DWOESIEG]s@k@_AMm@_AsByAcDg@qAe@gAONXp@
